,project_id,Revision,Author,Date,Lines of Code,L Lines of Code,S Lines of Code,Multi-line comments,Multi lines,blank lines,Single comment lines,Cyclomatic Complexity,Unique Operands,Unique Operators,Number of Operands,Number of Operators,Unique vocabulary (h1 + h2),Length of application,Code volume,Difficulty,Effort,Maintainability Ranking,Maintainability Index,file
117,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,6,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/51732151/30.csv
118,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,36,26,26,0,0,10,0,8,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/51732151/23.csv
119,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,1059,499,496,52,320,191,52,101,10,68,45,86,78,131,823.388,6.32353,5206.72,A,32.6961,/home/senior/senior/all_metric/51732151/32.csv
120,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,68,38,45,1,15,7,1,8,2,10,5,10,12,15,53.7744,1,53.7744,A,80.0916,/home/senior/senior/all_metric/51732151/45.csv
121,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,435,218,202,83,70,80,83,60,14,41,27,50,55,77,445.165,8.53659,3800.19,A,51.9026,/home/senior/senior/all_metric/51732151/2.csv
122,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,153,95,95,16,0,42,16,23,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/51732151/18.csv
123,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,282,141,184,22,22,54,22,12,1,2,1,2,3,3,4.75489,0.5,2.37744,A,71.977,/home/senior/senior/all_metric/51732151/17.csv
124,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,1707,1092,1072,194,185,262,188,59,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/51732151/13.csv
125,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,100,/home/senior/senior/all_metric/51732151/44.csv
126,51732151,153ad57,Calvin Wong Loi Sing,2017-01-25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,/home/senior/senior/all_metric/51732151/21.csv
